name,alcoholic,glassware,ingredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strMeasure1,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strInstructions
Applejack,Alcoholic,Cocktail glass,Jack Daniels,Midori melon liqueur,Sour mix,,,,,,,1 oz ,1/2 oz ,2 oz , , , , , ,,"Add all ingredients into mixing glass, chill and strain into cocktail glass"
Arizona Stingers,Alcoholic,Hurricane glass,Absolut Vodka,Iced tea,,,,,,,,2 shots ,12 oz lemon , , , , , ,,,Place ice cubes in the hurricane glass . Add the 2 HEAPING shots of Absolute Vodka (Note: You can add as many shots of Absolute as you want!) Fill the rest of glass with the Arizona Icetea with lemon. Stir to mix using a spoon. Drink up and enjoy!!!!!!!
Arizona Twister,Alcoholic,Hurricane glass,Vodka,Malibu rum,Gold tequila,Orange juice,Pineapple juice,Cream of coconut,Grenadine,Ice,Pineapple,1 shot ,1 shot ,1 shot ,1 splash ,1 splash ,1 splash ,1 dash ,crushed ,1 wedge ,"Just mix in the shots of rum, vodka, and tequila. Add splashes of the three juices, heavy on the pineapple. Top off with grenadine. Crushed ice should already be in glass. Top off the glass with a pineapple wedge."
Army special,Alcoholic,Cocktail glass,Vodka,Gin,Lime juice cordial,Ice,,,,,,30 ml ,30 ml ,45 ml ,1/2 glass crushed , , , , , ,"Pour Vodka, Gin and lime cordial into glass, and top up with crushed ice. Wait for ice to melt slightly and sip without a straw."
Aviation,Alcoholic,Cocktail glass,Gin,lemon juice,maraschino liqueur,,,,,,,4.5 cl,1.5 cl,1.5 cl,,,,,,,Add all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass. Garnish with a cherry.
Bora Bora,Non alcoholic,Highball glass,Pineapple juice,Passion fruit juice,Lemon juice,Grenadine,,,,,,10 cl ,6 cl ,1 cl ,1 cl , , , , , ,"Prepare in a blender or shaker, serve in a highball glass on the rocks. Garnish with 1 slice of pineapple and one cherry."
Cherry Electric Lemonade,Alcoholic,Pint glass,Gin,Tequila,Vodka,White rum,Triple Sec,Cherry Grenadine,Sweet and sour,Club soda,,1 oz,1 oz,1 oz,1 oz,1 oz,1 oz,1 oz,3 oz,,Now stir vigorously and then pour over a large cup of ice. Now drink it with a straw and stir occasionally.
Cosmopolitan,Alcoholic,Cocktail glass,Absolut Citron,Lime juice,Cointreau,Cranberry juice,,,,,,1 1/4 oz ,1/4 oz ,1/4 oz ,1/4 cup , , , , , ,Add all ingredients into cocktail shaker filled with ice. Shake well and double strain into large cocktail glass. Garnish with lime wheel.
Cosmopolitan Martini,Alcoholic,Cocktail Glass,Cointreau,Vodka,Lime,Cranberry juice,,,,,,1/2 oz ,1 oz ,Juice of 1/2 ,1 splash , , , , , ,"Pour all ingredients in mixing glass half filled with ice, shake and strain into chilled Martini glass."
Cream Soda,Alcoholic,Highball glass,Spiced rum,Ginger ale,,,,,,,,1 oz ,"
","
","
","
","
","
",,,Pour 1oz of Spiced Rum into a highball glass with ice. Fill with Ginger Ale.
Dark Caipirinha,Alcoholic,Highball glass,demerara Sugar,Lime,Cachaca,,,,,,,2 tsp ,1,2 1/2 oz,,,,,,,"Muddle the sugar into the lime wedges in an old-fashioned glass.
Fill the glass with ice cubes.
Pour the cachaca into the glass.
Stir well."
Dirty Martini,Alcoholic,Cocktail glass,Vodka,Dry Vermouth,Olive Brine,Lemon,Olive,,,,,70ml/2fl oz,1 tbsp,2 tbsp,1 wedge,1,,,,,"Pour the vodka, dry vermouth and olive brine into a cocktail shaker with a handful of ice and shake well.
Rub the rim of a martini glass with the wedge of lemon.
Strain the contents of the cocktail shaker into the glass and add the olive.
A dirty Martini contains a splash of olive brine or olive juice and is typically garnished with an olive."
Duchamp's Punch,Alcoholic,Old-fashioned glass,Pisco,Lime Juice,Pineapple Syrup,St. Germain,Angostura Bitters,Pepper,Lavender,,,5 cl,2.5 cl,2.5 cl,1.5 cl,2 Dashes,Pinch,2 sprigs,,,"Shake all ingredients.
Double strain in a chilled double old fashioned glass with abig ice cube.
Garnish with a couple of lavender sprigs"
